__label__FEAR	የኛ የሆነውን ሁሉ ያለኛ ፈቃድ መጠቀም ንቀት ነው እናም በእኛ በሆነው ነገር ክሬዲቱን መውሰድ ያለብን እኛ ነን   ኦርቶዶክስ ተዋህዶ እና ባህልና ቱሪዝም ሊያስቡበት ይገባል እረ እሱ ያሰፈራል እስኪ እደኔ የደነገጠ
__label__FEAR	ምርጥ ዲናዬ በትክክል ያስፈራል
__label__FEAR	ከፍቷል ዘመኑ ሰው አትመኑ እኔ ወደፊት ባል የሚሆነኝ ሰው ብዬ ሳስብ ራሱ ያስፈራኝ ጀምሯል ምንሰማው ምናየው ሁሉ አውሬነት እንኳ አይገልጸውም ብቻ አላቅም ምን ይሆን ፍጻሜያችን!
__label__FEAR	የፈራሁት ደርሶ ከማይ የካብኩትም ፈርሶ ለስለስ ብለሽ መጣሽ ዲናዬ
__label__FEAR	ከማይ የፈራሁት ደርሦ ይቅር አልንቃ ከንቅልፌ
__label__NEUTRAL	የደሀ ልጅ የሚለውን እንደ ስድብ ለመጠቀም የሚሞክር ሰው እንደው ይገርመኛል ያሳዝነኛልም በግምት  የኢትዮጵያ ህዝብ ማለት እኮ ነው የደሀ ልጅ የሚለው የሚያቅፈው  
__label__NEUTRAL	 ኢትዮጵያ ትርምሷን ከቀጠለች ሱዳን በቅርቡ መላ አገሪቱን ትቆጣጠራለች
__label__NEUTRAL	ኦሮሙማ ቀጥታ ትርጉሙ ኦሮሞነት ማለት ነው አማራነት ጉራጌነት ትግራዋይነት ሲዳማነት ወላይታነት እንደሚባለውኢትዮጵያዊነት የሚኖረው እነዚህ ማንነቶች ሲኖሩ ነው ኦሮሙማ ይውደም… 
__label__NEUTRAL	 የኢትዮጵያ መንግስ ሞት በይንና አሎ ብጥሜት ንመውት አለና በጀኧን ብልኻአልኦ ይርደአና ጠሚና ምግብ ምግብ ምግብ
__label__NEUTRAL	እየተንፈራፈረች የምትገኘውን ሕወሃት ከትግራይ መጠራረጉ በመጠናቀቅ ላይ ስለሆነ፡ ግድባችንን ሞልተን ሱዳንን ልክ ወደማስገባት እንሸጋገራለን  ኢትዮጵያ ሁሌም ታሸንፋለች… 
__label__NEUTRAL	ኢትዮጵያ ያልተመቻት ህውሃት ማስተዳደር ከጀመረ ቡሃላ ነው ኣለኝ ኣንድ ጋደኛይ ና እንዴት ብየ ገርሞኝ ነበር ትንሽ ቆይቸ ሳስቦው ለካ ኡነቱ ነው  ኣለምም የተበላሸቹ ዶክተር ቴድሮስ ስይዛት ነው
__label__NEUTRAL	ኢትዮጵያ  በምስል መከሰቻ መሳሪያቴሌቪዥን የሚታዩ ጉንጫቸው የተንጠለጠለ ወዛቸው ጨቅ ያሉና መነጠር የሚሰኩ ክራባት የሚደነቅሩ ንግግር የሚያሳምሩ ሰዎች ሀገር ብቻ አይደለችም  የብ… 
__label__NEUTRAL	የአማራ ወጣት ለተቃውሞ አደባባይ በመውጣቱ የወያኔ ወታደሮች ወጣቱን በስናይፐር ሲረሽኑት ሲሳለቅ የነበረ የወያኔ ደጋፊ ዛሬ ስደት በሄደበት ሃገር ሁሉ አስፋልት እየዘጋ ኢትዮጵያ የምት… 
__label__NEUTRAL	  የጠራው ሰልፍ ለምን ተከለከለ የኢትዮጵያ  ህግ  መንግስት አንቀፅ  ማንኛውም ሰው  ከሌሎች  ጋር  በመሆን መሳሪያ  ሳይዝ በሰላም የመሰብሰብ  ሰላ… 
__label__NEUTRAL	ኢትዮጵያ እንደ አቶ ተመስገን ጥሩነህ ያለ የተግባር ሰው ያስፈልጋታል   
__label__NEUTRAL	 አነሡ እራሣቸዉ ዘረኛ ሆነዉ አብንን ከባለደራስ ተቀላቀለ ምናምን እያሉ እራሣቸዉን በኢትዮጵያ ካባ ሸፍነዉ መተቸት አይችሉም ለማለት ነዉ ዋናዉ ኢዜማን የሚደግፉት… 
__label__FEAR	ያረብ አላሁመአ ነብሳችን ወደአ ቀጥተኛዉን ወገድ ፈራሁ አላሁመ ምራንንንንንን
__label__FEAR	እርእሱን አስተካክሉ አስፈርታችሁኝ ነበር
__label__FEAR	አይ ነገረኛ ልጂ ይዉጣላቸሁ እደናንተ አይሁኑ ሌላ ምን ይባላል ሌላ ልጅቱን አስፈራራችሁ. ከቀልባ. ይጠብቃችው
__label__FEAR	በጣም ያስፈራል😢😭😭😭ደም እባካችሁ ሕፀነት  ይህን ፈልም መስረት
__label__FEAR	ግን የጓድኛዉን ስም መናገር አልነበረብሺም ቢጣሉሳ በፈጣሬ ሰውን አስፈራራችሁኝ እያስደነገጡ ፕራንክ አንተ ምነው
__label__FEAR	አዎ በጣም አስፈራራችሁኝ ግን ከአምልኮ ጋር ስለሚያገናኙት እፈራዋለው ።
__label__FEAR	ወአለኩም ሠላም ወራህመቱላሂ ወበረካትሁ ኢናሊላሂ ወኢናሊላሂ ያረብ አላህ መጀረሻችንን ያሣምርልን በሀቅ ላይ ያፅናን ወላሂ አሥፈሪ ሠአት ነዉ
__label__FEAR	ጀዛከላሁም ከይር ኢንሻላህ አሁንም አሰፈሪ እንሆናለን
__label__FEAR	አላሁ ሙስተአን አላህ ተቂዮችን ያብዛልን አቅም ድፍረት ይስጥልን አስፈራራችሁኝ
__label__FEAR	ኢኒ ሊላሂ ወኢነሊላህ ራጂኢን ፈራሁ ፈራሁ ያረቢ እነሱ በሰሩት አድጋ የሚምጣዉ በላኢ አለም ለጠፋነዉ ምሰለን ፈራሁ ያረቢ
__label__FEAR	የአላህ አሁንስ በጣም እየፈራሁ ነዉ ምን አይነት ጊዜ ላይ ደረስን ኢናሊላሂ ወኢናኢሊላሂ እራጅኡን
__label__FEAR	ሱበንአለህ😂ያማል።ያአለህ።ማጨራሻቺን።አሰሚሪሊ።ያስፈራል
__label__FEAR	በጣም ያስፈራል ልጅስ የአእሮ ብስለት ጎደለው ወጣትነት አታለለው ይባል አባት? ኧረ አኼሩ ዘማን ነው ያስፈራል
__label__FEAR	የዚህ ትውልዲ በመሆኔ ፈራሁ አባት ልጁን ይደፈራል አባት ልጁን ይገላል ዋ ጥፈታቸው አስፈራችሁኝ
__label__FEAR	የምትሳደቡ ተቆጠቡ እኚህ ምሁር ስገዱልኝ አላሉም አምላክ ያሳያቸውን ተናገሩ ከፈለጋችሁ ስሙ ካለበለዚያ አለ መስማት ትችላላችሁ ዘመኑ ከባድ ነው ትልቅ ሰውን አክብሩ በጣም የምፈራቸው
__label__FEAR	ውይ አምላኬ ሴት ልጅ መውለድ የሚያስፈራ ሀገር .አምላክ ይቅጣቹ ወንዶች ልብን ይሰብራል ድህነት ክፉ ነው የሰውን ህይወት ሜዳ ላይ ይጥላል
__label__FEAR	ትንቢቱ  ምንም ይሁን ምን ፡  ኢ ትዪጰያ እጆቿን ወደ እግዚአብሔር   ትዘረጋለች ፡   መንግስተ ሰማያት  ቀርባለችና ንሰሐ ግቡ   በሱ ያመነ  ይድናል ፡፡ ኮሜቱን ሳይ ፈራው ማየት ኡፍፍፍ
__label__FEAR	ምድነው የሰው ልብ ማስደንገጥ እውነት እየመሰለን ውስጣችን ተረበሽ አስፈራራችሁኝ
__label__FEAR	ልክ እውነት ነው የሚመስለው በጣም ያስፈራል በእመቤቴ በማርያም አልደራደርም ሲሉ በራሱ መዳን ነው እድሜ ይስጥዎት እንደእርስዎ ያለ መልካም ስው ያብዛልን እሜን
__label__FEAR	እረ እኔስ አስፈርተከኝ ነበር አንተ ነህ ብየ ኧረ ሰዎች አዳምጡ እስቲ መሳደብ ምን አመጣው ማወቅ አይጎዳም። አስቲ ከመሳደብ ፀሎት አድርጉ
__label__FEAR	እኔ እትዮ ወንድን መቼም አልቀርብም ፈራሁ
__label__FEAR	ከዘንዶው በላይ ያለው ሐይል ወደ እግዚአብሔር የምናደርሠው ፆም ፀሎት ምህላ ነው እግዚአብሔር ቁጣውን ወደ ምህረት ይቀይርልን እንዳላገባ ፈራሁ
__label__FEAR	እረ ፈራሁ አላህ ሆይ አንተሁነን ባሌ ጋ ትፍትቸ አሁን በስልክ እገልሻለሁይለኛል እኔም አያርመኝ ሊላላገባነው ግን ምንይሻለኛል ወላሂ የምር ያስፍራል
